Name,Type,ML,Accuracy,Recall,Precision,F1,Time
Static Dynamic,802,DT,0.8,0.8,0.81,0.8,0.12
Static Dynamic,802,KNN3,0.93,0.93,0.93,0.93,0.03
Static Dynamic,802,KNN5,0.92,0.92,0.92,0.92,0.03
Static Dynamic,802,ETC10,0.97,0.97,0.97,0.97,0.14
Static Dynamic,502,DT,0.79,0.79,0.8,0.79,0.05
Static Dynamic,502,KNN3,0.88,0.88,0.89,0.88,0.01
Static Dynamic,502,KNN5,0.87,0.87,0.88,0.87,0.01
Static Dynamic,502,ETC10,0.95,0.95,0.95,0.95,0.06
Static Dynamic,601,DT,0.84,0.83,0.84,0.83,0.14
Static Dynamic,601,KNN3,0.92,0.92,0.93,0.92,0.03
Static Dynamic,601,KNN5,0.92,0.91,0.92,0.91,0.03
Static Dynamic,601,ETC10,0.97,0.97,0.97,0.97,0.15
Static Dynamic,401,DT,0.82,0.82,0.82,0.82,0.09
Static Dynamic,401,KNN3,0.9,0.9,0.91,0.9,0.02
Static Dynamic,401,KNN5,0.89,0.89,0.9,0.89,0.19
Static Dynamic,401,ETC10,0.95,0.95,0.95,0.95,0.11
Static,802,DT,1,1,1,1,0.03
Static,802,KNN3,1,1,1,1,0.02
Static,802,KNN5,1,1,1,1,0.02
Static,802,ETC10,1,1,1,1,0.03
Static,502,DT,1,1,1,1,0.01
Static,502,KNN3,1,1,1,1,0.01
Static,502,KNN5,1,1,1,1,0.01
Static,502,ETC10,1,1,1,1,0.01
Static,601,DT,0.99,0.96,0.99,0.98,0.03
Static,601,KNN3,1,1,1,1,0.02
Static,601,KNN5,1,1,1,1,0.02
Static,601,ETC10,1,1,1,1,0.03
Static,401,DT,0.99,0.96,0.99,0.97,0.02
Static,401,KNN3,1,1,1,1,0.01
Static,401,KNN5,1,1,1,1,0.01
Static,401,ETC10,1,1,1,1,0.02
Dynamic,802,DT,0.67,0.3,0.42,0.31,0.11
Dynamic,802,KNN3,0.92,0.89,0.9,0.89,0.03
Dynamic,802,KNN5,0.91,0.86,0.88,0.87,0.03
Dynamic,802,ETC10,0.98,0.98,0.99,0.98,0.09
Dynamic,502,DT,0.67,0.27,0.39,0.28,0.05
Dynamic,502,KNN3,0.84,0.74,0.79,0.76,0.01
Dynamic,502,KNN5,0.83,0.7,0.78,0.73,0.01
Dynamic,502,ETC10,0.93,0.89,0.92,0.91,0.04
Dynamic,601,DT,0.68,0.26,0.4,0.26,0.12
Dynamic,601,KNN3,0.91,0.85,0.88,0.86,0.03
Dynamic,601,KNN5,0.9,0.83,0.87,0.85,0.03
Dynamic,601,ETC10,0.97,0.94,0.97,0.96,0.09
Dynamic,401,DT,0.67,0.27,0.44,0.28,0.09
Dynamic,401,KNN3,0.89,0.81,0.84,0.82,0.01
Dynamic,401,KNN5,0.88,0.78,0.82,0.8,0.01
Dynamic,401,ETC10,0.96,0.92,0.95,0.93,0.06
Holding Styles,802,DT,1,1,1,1,0.03
Holding Styles,802,KNN3,1,1,1,1,0.02
Holding Styles,802,KNN5,1,1,1,1,0.02
Holding Styles,802,ETC10,1,1,1,1,0.03
Holding Styles,502,DT,1,1,1,1,0.01
Holding Styles,502,KNN3,1,1,1,1,0.01
Holding Styles,502,KNN5,1,1,1,1,0.01
Holding Styles,502,ETC10,0.99,0.99,0.99,0.99,0.01
Holding Styles,601,DT,1,1,1,1,0.03
Holding Styles,601,KNN3,1,1,1,1,0.02
Holding Styles,601,KNN5,1,1,1,1,0.02
Holding Styles,601,ETC10,1,1,1,1,0.03
Holding Styles,401,DT,1,1,1,1,0.02
Holding Styles,401,KNN3,1,1,1,1,0.01
Holding Styles,401,KNN5,1,1,1,1,0.01
Holding Styles,401,ETC10,1,1,1,1,0.02
Total,802,DT,0.76,0.77,0.79,0.76,0.12
Total,802,KNN3,0.93,0.93,0.93,0.93,0.03
Total,802,KNN5,0.91,0.92,0.92,0.91,0.03
Total,802,ETC10,0.97,0.97,0.97,0.97,0.16
Total,502,DT,0.75,0.76,0.79,0.75,0.05
Total,502,KNN3,0.88,0.88,0.88,0.88,0.01
Total,502,KNN5,0.86,0.86,0.87,0.86,0.67
Total,502,ETC10,0.93,0.93,0.93,0.93,0.06
Total,601,DT,0.76,0.76,0.8,0.75,0.13
Total,601,KNN3,0.92,0.92,0.92,0.92,0.03
Total,601,KNN5,0.91,0.91,0.92,0.91,0.03
Total,601,ETC10,0.96,0.96,0.96,0.96,0.16
Total,401,DT,0.76,0.76,0.8,0.76,0.09
Total,401,KNN3,0.9,0.9,0.9,0.9,0.02
Total,401,KNN5,0.88,0.88,0.89,0.88,0.02
Total,401,ETC10,0.94,0.94,0.94,0.94,0.11
Total,802,ETC100,0.97,0.94,0.98,0.96,1.87
Total,802,ETC50,0.97,0.94,0.98,0.96,0.95
Total,802,ETC25,0.97,0.94,0.98,0.96,0.49
Total,502,ETC100,0.91,0.85,0.94,0.89,0.8
Total,502,ETC50,0.91,0.85,0.93,0.89,0.42
Total,502,ETC25,0.91,0.84,0.93,0.88,0.21
Total,601,ETC100,0.96,0.91,0.97,0.94,1.91
Total,601,ETC50,0.96,0.91,0.97,0.94,0.98
Total,601,ETC25,0.96,0.91,0.97,0.94,0.5
Total,401,ETC100,0.93,0.85,0.95,0.89,1.33
Total,401,ETC50,0.93,0.85,0.95,0.89,0.68
Total,401,ETC25,0.93,0.84,0.94,0.88,0.34
