Timestamp,MaxAx,MaxAy,MaxAz,MaxGx,MaxGy,MaxGz,MaxMx,MaxMy,MaxMz,MaxLiAx,MaxLiAy,MaxLiAz,MaxP,MinAx,MinAy,MinAz,MinGx,MinGy,MinGz,MinMx,MinMy,MinMz,MinLiAx,MinLiAy,MinLiAz,MinP,MeanAx,MeanAy,MeanAz,MeanGx,MeanGy,MeanGz,MeanMx,MeanMy,MeanMz,MeanLiAx,MeanLiAy,MeanLiAz,MeanP,StandardDeviationAx,StandardDeviationAy,StandardDeviationAz,StandardDeviationGx,StandardDeviationGy,StandardDeviationGz,StandardDeviationMx,StandardDeviationMy,StandardDeviationMz,StandardDeviationLiAx,StandardDeviationLiAy,StandardDeviationLiAz,StandardDeviationP,MedianAx,MedianAy,MedianAz,MedianGx,MedianGy,MedianGz,MedianMx,MedianMy,MedianMz,MedianLiAx,MedianLiAy,MedianLiAz,MedianP,VarianceAx,VarianceAy,VarianceAz,VarianceGx,VarianceGy,VarianceGz,VarianceMx,VarianceMy,VarianceMz,VarianceLiAx,VarianceLiAy,VarianceLiAz,VarianceP,KurtosisAx,KurtosisAy,KurtosisAz,KurtosisGx,KurtosisGy,KurtosisGz,KurtosisMx,KurtosisMy,KurtosisMz,KurtosisLiAx,KurtosisLiAy,KurtosisLiAz,KurtosisP,SkeAx,SkeAy,SkeAz,SkeGx,SkeGy,SkeGz,SkeMx,SkeMy,SkeMz,SkeLiAx,SkeLiAy,SkeLiAz,SkeP,SMAAcc,SMAGyr,SMAMag,SMALiAcc,GroupType,Type,Pose
0,0.053541790111974526,-0.000522768744,8.005017321112849,7.428450989419267e-05,7.360976505590145e-05,0.00012757186107738302,-0.0312182694,18.990857134933595,-0.13135102919999997,0.7714200720927287,-0.003044361744,-0.00023025627,801.844941303448,0.00023959025999999997,-0.12269369166484818,0.035202752999999996,1.3212e-06,-1.6129439999999994e-06,3.832837199999999e-06,-6.76285029956538,0.084470544,-29.43706102060502,0.00360330012,-0.6397334944264583,-0.05148618860129563,0.0,0.028293793074313615,-0.0671734526348682,4.344899633568305,3.6693666250718186e-05,3.721740859713351e-05,7.009363698701482e-05,-3.664108101599261,10.29941817948451,-15.947862660045462,0.4306286402952433,-0.35507690637696016,-0.029641391307668602,423.67362172112456,0.01744640765149021,0.039890321934612276,2.5971803254149335,2.533693626528701e-05,2.428745165272011e-05,4.0640970703995616e-05,2.1831211522610974,6.148384451961759,9.536471774674151,0.2520588910533372,0.2087322104560523,0.017050336700110188,264.6105546657336,0.02999672526837196,-0.07281137113889385,4.671019503465844,3.382874099488915e-05,3.4711333456019646e-05,6.875034934286008e-05,-3.943794038040615,11.067463912159994,-17.121129001959865,0.4694790560796298,-0.38572509648619624,-0.03311018078846346,452.9327750159688,0.0003043771399419761,0.0015912377840470095,6.745345642722419,6.41960339311216e-10,5.898803077832168e-10,1.6516884997630298e-09,4.766017965449822,37.8026313691251,90.94429390915676,0.0635336845590381,0.04356913568186971,0.00029071398158712436,70018.7456405072,-1.3531089067824842,-1.3163205268739917,-1.318838123337526,-1.4937136107084072,-1.3339895283142191,-1.3906114635261948,-1.3107998596872048,-1.314964283372131,-1.3185157649421737,-1.3039867155007179,-1.3084684023562239,-1.2897649812165601,-1.3500552638923706,-0.1521934903819554,0.24655298981742074,-0.22150745296424573,0.12847161892640985,0.07256581332993,-0.09574707555902102,0.2231477418583083,-0.22075537473630763,0.2167203195837846,-0.27827000699681925,0.2641881512503453,0.3565455363731004,-0.18275392953852268,4.440366879277486,0.00014413158159486654,29.911388941129232,0.815346937979872,0,0.0,2
1,0.057979547013326097,-0.024284964026897178,8.679721153890933,7.428450989419267e-05,7.360976505590145e-05,0.00012757186107738302,-1.3265395405268585,20.622477762777603,-5.737137520636823,0.819121622914212,-0.13106498195272268,-0.01103999444018173,873.1965572827805,0.009679447868571351,-0.13341749654242913,1.5600887772465937,-3.334124387118171e-05,-2.0775799068397005e-05,-2.895333180069232e-05,-7.381717066572137,3.709838032343559,-31.931177670685095,0.15975859741288959,-0.6793623370105484,-0.05324903165241264,136.82679025696933,0.03881096514211532,-0.09113511243598212,5.906423923425079,3.231015242098298e-05,3.011395029982831e-05,6.348684786923468e-05,-4.987680072374573,14.006467985469774,-21.690171104633333,0.5784790517293862,-0.4778227981439928,-0.03936869092679138,583.1346148622943,0.015033140075424197,0.033039944920659536,2.170262005394688,3.1583123673596584e-05,3.137280292324959e-05,4.9631130843883294e-05,1.834355341629604,5.147867444594969,7.991727440951417,0.20206157145786052,0.16855413106876707,0.01300063173242386,225.3554540171359,0.04176204798134192,-0.09866229066608515,6.374527235612161,3.382874099488915e-05,2.9903803578155506e-05,6.875034934286008e-05,-5.35967118541198,15.092444804350755,-23.381783241140987,0.6311360172596667,-0.5204498198924081,-0.043489625559379255,630.4119342319798,0.00022599530052732502,0.0010916379603602157,4.710037172059773,9.97493700981697e-10,9.842527632610583e-10,2.4632491488426638e-09,3.3648595193650612,26.50053922712073,63.86770749045588,0.04082887866002008,0.02841049510034711,0.0001690164254421062,50785.080655269456,-1.1019595313314443,-0.9931718367645996,-1.0286750161238967,-0.9940267985704252,-1.295071709016968,-1.1934973923584766,-1.031057866790643,-1.0323385307000017,-1.036320140866457,-0.941313737845082,-0.9637856872930568,-0.7540191977392539,-1.0536914446826187,-0.43909277828102256,0.5055812952959386,-0.48300496355678824,-0.32717148740142254,-0.11437790710906787,-0.36520938602576325,0.46238938834284793,-0.4743524172749774,0.4755464949538615,-0.5791822215468463,0.5626326730979508,0.7199496241138501,-0.464359319637242,6.036370001003175,0.0001422317870825311,40.68431916247768,1.0956705408001703,0,0.0,2
2,0.05974028561462634,-0.058461030585807136,9.108584222779522,7.428450989419267e-05,7.360976505590145e-05,0.00012757186107738302,-3.1738447139317336,21.60051355145289,-13.748422500321782,0.8406537120755295,-0.3113863379901117,-0.02697887159301123,918.745350041122,0.02357874544473196,-0.14018805697315995,3.7519926094618348,-4.893912568326401e-05,-2.411859640439361e-05,-8.207959666067475e-05,-7.750797691725806,8.902450632200862,-33.555261032220535,0.3795993406650584,-0.6959364619500037,-0.05324903165241264,358.1302081868229,0.0474745762575919,-0.11067708329653936,7.1835043146859,1.5677638305644705e-05,1.483509703200024e-05,3.351772578173044e-05,-6.076536017889588,17.036013137299104,-26.397712884819285,0.6931923317897571,-0.5733365926738214,-0.04623803924407026,715.9925328307,0.011023132873494797,0.024054312364942706,1.591053690691253,4.179684925328599e-05,3.1727948509594574e-05,6.593105358039434e-05,1.3644735097271457,3.7871801198608726,5.882378746011297,0.13785856416710152,0.11569302657867955,0.007821643240163528,166.8127699107843,0.0506683451247156,-0.11642551997982808,7.593325709296831,1.0908759280155423e-05,1.05238478558051e-05,3.3102106816462355e-05,-6.39528033961377,17.99996772635478,-27.904422784148213,0.7384241167892385,-0.6115288385593058,-0.04958912098442717,758.4321049031603,0.00012150945834672167,0.0005786099433502355,2.5314518466622573,1.746976607501914e-09,1.0066627166274846e-09,4.346903826220829e-09,1.8617879587471153,14.342733260269412,34.602379711525444,0.019004983714214847,0.013384876398935052,6.117810297639582e-05,27826.500205308264,-0.82819637590933,-0.8076910275856539,-0.8289029932095984,-1.3510790012788476,-0.9189721632505083,-1.2603909474784911,-0.8814432685829146,-0.8464742022091283,-0.8394229529043731,-0.6239316045912755,-0.6457011460472226,-0.20582842622474473,-0.8453856794013164,-0.6601030078605585,0.6112503886691244,-0.618792660514141,0.009947927405874938,0.5264525047671171,-0.08700728103178372,0.5736745701707321,-0.6101114698733385,0.6117337208065536,-0.7782583867799727,0.7727809308104034,1.0180171228654666,-0.6082841215579787,7.3416559742400285,0.00012643334936354521,49.51026204000797,1.312766963707649,0,0.0,2
3,0.06069177990783309,-0.08812082666268164,9.375166759029058,7.304690680417903e-05,6.680476984991086e-05,0.00010420095005084036,-4.771829588893272,22.188413445720634,-20.797051736195684,0.8442292861186267,-0.4653885331732697,-0.03948347549282042,947.1156484859152,0.036844499193948665,-0.14414723457574574,5.670644643807383,-4.893912568326401e-05,-2.411859640439361e-05,-9.728446495328768e-05,-7.969911198779665,13.417000301263204,-34.55024697586383,0.5654952471885443,-0.698215969909574,-0.05324903165241264,556.8285758334807,0.05354524129608256,-0.12469882282563502,8.106049299926996,5.931254581195701e-06,1.080756232206129e-05,-9.171387066074827e-06,-6.867056058031454,19.220153771592454,-29.815494226097396,0.7683879680810581,-0.6360582703973379,-0.04979895337388151,812.850229896026,0.007100181384278768,0.016520843784735312,1.0855279667018103,3.416992928815625e-05,2.6373455428560004e-05,6.497591634351888e-05,0.9494956573923201,2.5827590005390446,4.034726762670076,0.08272733342411173,0.06932834329397293,0.003703254651535008,114.47724496774921,0.056399952992418,-0.1291730415845953,8.412026952324606,7.159695454915426e-06,1.05238478558051e-05,-1.024611197159729e-05,-7.133137152542853,19.978769472948592,-30.94440671323826,0.80128432469677,-0.6648538484406439,-0.051016609274604,844.8514104815392,5.041257568965876e-05,0.0002729382793596274,1.1783709664917668,1.1675840675575982e-09,6.955591512422412e-10,4.221869704679964e-09,0.9015420034068741,6.670644054865444,16.27902004940615,0.006843811695464155,0.0048064191838869605,1.3714095014115671e-05,13105.039615406062,-0.4494604261730677,-0.7677045528224808,-0.6941136388470204,-0.9296526561063367,-0.8363725654298695,-1.2244573981721927,-0.7648135440320067,-0.6906896660632014,-0.705181403767043,-0.2608358113678171,-0.22725523288211624,0.7067832512114558,-0.7057646014881,-0.8982679853109033,0.6553947342280816,-0.700465622866469,0.11688383544266252,0.3781255656693047,0.1594613575270093,0.6731225140666516,-0.7142618283114344,0.6928943637088135,-0.9764212740222084,0.9998199126358901,1.3114239434448065,-0.6933106964239796,8.284293364048713,0.00010827314001543333,55.902704055721316,1.4542451918522774,0,0.0,2
4,0.06222270527162196,-0.10919806234465797,9.538560530185785,9.824358909983017e-05,6.680476984991086e-05,5.632313070228184e-05,-5.972607241156514,22.55874801863571,-26.070293743166385,0.8442292861186267,-0.5758085354682438,-0.04731274230682456,964.4644547514292,0.047144600534470324,-0.14674403338355674,7.101363381210063,-4.893912568326401e-05,-2.411859640439361e-05,-9.728446495328768e-05,-8.136023370364784,16.818861993577826,-35.1365767819762,0.6962558200181773,-0.698215969909574,-0.05324903165241264,706.6688534808721,0.05752190190851507,-0.13414620777439104,8.729445404955545,1.1623101120314486e-05,1.2240107734326786e-05,-4.3096193257198e-05,-7.411847445819945,20.69305733390563,-32.131759587568276,0.8100931950229618,-0.6709831743932271,-0.050972705164211436,878.6459042265316,0.004107386090514357,0.010997568180574367,0.7080696001677466,4.251653278676161e-05,2.8712609754782187e-05,4.971521693046053e-05,0.6283775097614424,1.6647683652981997,2.6379739173532197,0.042090923105322864,0.03472967241191104,0.001688182342183891,74.96611805269559,0.05913025919156596,-0.13748332097848903,8.939887250421304,7.159695454915426e-06,9.280769230644638e-06,-5.9544220390344874e-05,-7.611278836875515,21.218735833621537,-32.900525324672806,0.8321552934393383,-0.6891783486380052,-0.051016609274604,900.8047851099957,1.687062049655081e-05,0.00012094650588638178,0.5013625586817125,1.8076555602077754e-09,8.244139589304133e-10,2.471602794442749e-09,0.39485829477399154,2.7714537100976404,6.958906388635891,0.0017716458078582023,0.001206150145838655,2.8499596204614876e-06,5619.918855890693,-0.03934360808724824,-0.6396577813536282,-0.5980475791563711,-0.7610969854116605,-0.936549382637812,-1.1378535662297,-0.5921051743419978,-0.5375371910520177,-0.6044348499575687,0.4286347918449036,0.5527828661978345,-1.076615410916803,-0.6078540166934787,-1.0267751445212676,0.7498240726672705,-0.7542538789707457,0.48277597963803864,0.47365196915512936,0.5295325590070562,0.768733562694578,-0.7967423574673889,0.7504647059061146,-1.2748116663057794,1.322560223212822,0.27981297277901607,-0.7489863861994218,8.92111351463845,0.00011602573129751658,60.236664367293855,1.5320490745804003,0,0.0,2
5,0.06309653836319709,-0.12396640314878354,9.636019085119123,0.00010999915231451228,6.680476984991086e-05,8.491636971882531e-06,-6.836914357768101,22.834155416033212,-29.736587744198403,0.8442292861186267,-0.6450111594113656,-0.04429699001032211,974.9244305954097,0.05408798882356422,-0.14821859790016506,8.086414717693016,-4.893912568326401e-05,-2.411859640439361e-05,-9.728446495328768e-05,-8.242651639354117,19.188313642920107,-35.5501978928193,0.7776773007959911,-0.698215969909574,-0.05324903165241264,810.4376404539239,0.05995494077363628,-0.14041953268048635,9.13326431388908,3.0301082809604633e-05,7.92419284981199e-06,-5.7865929656649855e-05,-7.77405045208418,21.643491812825513,-33.638260280453984,0.8271659793486682,-0.6851346332675271,-0.050293899506385895,921.425095265367,0.002345571118550078,0.0069552255516073915,0.4478501053445175,5.69648178891129e-05,3.0308511199362116e-05,3.44126907360115e-05,0.3976574723945931,1.0318400993347538,1.6754398269016304,0.01697463012312371,0.013488761543082447,0.002581202864093721,47.55909839113015,0.060147158601376094,-0.14268988240345065,9.270619463087721,2.368553782066822e-05,-5.520868152991603e-06,-7.018938526779399e-05,-7.884377802523708,21.95343958449677,-34.16309229611868,0.8321552934393383,-0.6891783486380052,-0.050620622795910654,936.0112860833244,5.501703872176265e-06,4.837516247373235e-05,0.20056971685709546,3.244990477139797e-09,9.186058511218588e-10,1.184233283692372e-09,0.15813146535125655,1.0646939905951545,2.807098613568165,0.0002881380678168589,0.00018194668796613994,6.662608225605628e-06,2261.8678397771982,-0.19092089279904378,-0.4719562093730847,-0.5290696941148862,-1.5544817842624146,-0.9405352203219133,-1.2029491656324756,-0.4725009075153519,-0.4390115944352959,-0.5463314059244673,0.7973310255558452,0.9655225391128313,-0.5276839110320326,-0.5360588326710576,-0.7113868308199162,0.8188241414202468,-0.7913858259270615,0.09629100511217198,0.723230126963484,0.5189890612117134,0.7848827417192166,-0.8191881051105019,0.7850104236079909,-1.2030891478246806,1.2610706527854167,0.7287195703420486,-0.78809280970952,9.333638787343203,0.00013661322093246585,63.055802545363676,1.562594512122581,0,0.0,2
6,0.06376861823012042,-0.1342386911135463,9.694177799768081,0.00010999915231451228,6.680476984991086e-05,5.226045747140828e-05,-7.4295128557976815,23.004855631777115,-32.12270445121077,0.8442292861186267,-0.6551997227093307,-0.04018962755203876,981.1590300643295,0.05822648171312793,-0.149062844760036,8.732086681048987,-4.893912568326401e-05,-2.411859640439361e-05,-9.728446495328768e-05,-8.320157589543799,20.745179292516877,-35.75451630330847,0.7902450381863313,-0.698215969909574,-0.053157899853594745,878.750229034974,0.06139049992571489,-0.1443900023998122,9.387256047131418,4.987253033055243e-05,1.188091672313243e-05,-4.709094073774428e-05,-8.006598238390472,22.240964048567307,-34.59422532361359,0.8273130351517253,-0.6851000675352011,-0.048146674657207594,948.4217392714029,0.0016502188333380329,0.004276499333810699,0.2770460573131984,5.5135770716512976e-05,2.9491783671224718e-05,5.182509849888743e-05,0.25345835422064283,0.6430653471079731,1.0462630182570398,0.015919871401758365,0.01283266648827464,0.003845184856038982,29.49042250248652,0.06159974784681266,-0.14553118242276786,9.475024072009695,7.77092539671888e-05,6.186668200703095e-06,-7.018938526779399e-05,-8.071724872625314,22.416043493620894,-34.901757945144,0.8321552934393383,-0.6891783486380052,-0.049276023456769444,957.7064690056226,2.7232221979035385e-06,1.828844655208335e-05,0.07675451787278803,3.0399532125038894e-09,8.69765304110317e-10,2.6858408344193846e-09,0.06424113732423686,0.4135330406510979,1.0946663033723307,0.00025344230544852383,0.00016467732919928698,1.4785446577111528e-05,869.6850193751633,-1.260842199864714,-0.4428225792257714,-0.4781017223071782,-1.077650825515101,-1.1001696010206803,-0.6932854078868425,-0.6820929519607204,-0.5572894436899576,-0.46345980034801615,-0.4661839087062378,-0.4350317130167367,-0.9036824816478646,-0.48140472641424026,-0.22391857385243583,0.8117215567338014,-0.8196870991784381,-0.6839158121557425,0.4755913455909426,0.8980740003160667,0.6577029741404442,-0.733596845995503,0.8120600859506036,-0.835923674313736,0.875893322371477,0.5593094826279155,-0.8170136208924785,9.593036549456944,0.00015702957538390338,64.84178761057139,1.560559777344134,0,0.0,2
7,0.06445893959864925,-0.14068203822368644,9.72896987747062,0.00010999915231451228,6.680476984991086e-05,5.226045747140828e-05,-7.77716690891649,23.082471793556145,-33.68152243729324,0.8442292861186267,-0.6338260166134134,-0.03628307843415618,984.8400176989636,0.05981996619801003,-0.14917763187315958,9.141370179108868,-1.643657033245683e-05,-2.037449520940925e-05,-9.728446495328768e-05,-8.359090288864273,21.67295175702915,-35.836310845766334,0.7641606326933869,-0.698215969909574,-0.05178991217982856,922.2353847929364,0.062412846465786,-0.1467263165422692,9.543823804912625,7.672172254032522e-05,2.4033079088420666e-05,-2.9374647422688404e-05,-8.155272391396348,22.612467218531382,-35.17942481302329,0.8159210812719722,-0.6758204391496676,-0.04527936607898622,965.0940606940087,0.0014518554209915473,0.0025264139282073243,0.16863091764811886,3.229176965710944e-05,2.7559174875223055e-05,5.943372762197874e-05,0.17288911434825932,0.41592280439525653,0.6306790937535605,0.025647483159868513,0.02062019608153551,0.004746078656656465,17.973826723982256,0.06270887085055121,-0.14760170391671484,9.598311989921797,8.772070430108626e-05,2.9390300731906555e-05,-4.3562626138019173e-05,-8.195664869596149,22.71683623064264,-35.384227661171295,0.8222145203998499,-0.6809611975741339,-0.04610492460218463,970.8653423153926,2.107884163462543e-06,6.382767336639963e-06,0.028436386386846646,1.042758387587814e-09,7.595081198031256e-10,3.5323679790435583e-09,0.02989064586012549,0.1729917792160148,0.3977561192978123,0.0006577933924357389,0.00042519248644097243,2.252526261517004e-05,323.05844710373873,-1.1262142307467715,-0.5011611282915163,-0.4312058403242309,1.1334527917516546,-1.2751878434984532,-1.7525332903737323,-0.800301259905531,-0.7000085832551988,-0.48965860301941255,-1.050169875049712,-1.042703785498044,-1.2575258011543506,-0.43837236162301885,-0.3774978289864949,0.8522795977055455,-0.8436588765635037,-1.4221546892778194,-0.19464047054770114,0.1515325076882954,0.6253863480016164,-0.6827139161366373,0.8279634341810634,-0.5351661106717123,0.5446106549690128,0.3485762578164949,-0.8393217692715862,9.75296296792068,0.00016766517152233556,65.94716442295103,1.5370208865006258,0,0.0,2
8,0.06454079246831577,-0.14436783029615372,9.748785221447068,0.00010999915231451228,6.67439664300806e-05,5.226045747140828e-05,-7.989002612027356,23.096951289960817,-34.623365762066875,0.8423206712492385,-0.6108743702482508,-0.03136087949723181,986.995430158641,0.06083477106151416,-0.14948011885177237,9.395404890873264,5.7692023409511514e-05,-2.037449520940925e-05,-9.475301741957927e-05,-8.382447990076477,22.234332365513072,-35.92119259427953,0.7375184052626028,-0.6969564604065062,-0.04996557020979833,949.2643156494507,0.06326440123102449,-0.14808419634395178,9.638849197950165,8.777721450652459e-05,1.7926097841956597e-05,-1.3006562916579724e-05,-8.253324528195051,22.840720304842165,-35.52568254806491,0.7971231162505197,-0.6605315435164284,-0.04186597721617564,975.2227781034678,0.0010948251835166184,0.001477483878420587,0.10112345984330219,1.3093026835189657e-05,2.4242717555747347e-05,5.0450555844280976e-05,0.11515482732669817,0.26335888379723,0.37512205025729467,0.032497099006636505,0.0265610563482992,0.005678660578805768,10.807652926307934,0.06340801854552731,-0.14894538742561247,9.671520062807112,8.772070430108626e-05,1.4163375114696095e-05,-3.0320756477651948e-06,-8.286586510099589,22.941381668005647,-35.688340521772474,0.8010673398185275,-0.6635970698971299,-0.04202875189639202,978.747492568184,1.1986421824621968e-06,2.18295861099274e-06,0.01022595413067995,1.714273517069965e-10,5.877093544877405e-10,2.5452585849969135e-09,0.013260634256641672,0.06935790167492288,0.1407165525892363,0.0010560614438471355,0.0007054897143375252,3.224718596928266e-05,116.80536177553245,-0.7438214722775087,0.04385918207726158,-0.3926566134432159,-0.7257962546617174,-1.0339973911196851,-1.3612734635661274,-0.6493912030557731,-0.631231309930663,-0.35077934962124013,-1.2122538433806886,-1.1774740665343293,-1.1877754209616636,-0.4035166109082642,-0.5877063019131668,1.1199110589403978,-0.8597724488342385,-0.11090702292842322,0.08926182151589133,-0.31577744071505,0.7417779796691996,-0.8187743947468203,0.9498304066695631,-0.27035876466800435,0.29538732086468755,0.1793730841164963,-0.8571526110258578,9.85019779552514,0.00015620090199198826,66.61972738110214,1.499520636983124,0,0.0,2
9,0.06454079246831577,-0.14691435636144295,9.760610732557398,0.00010999915231451228,7.33945066653544e-05,5.226045747140828e-05,-8.148031197507786,23.11868933565223,-35.18237996465136,0.8299453197257156,-0.587164334940505,-0.02640805330344474,988.2503000918418,0.062304504348458814,-0.1501491238863063,9.550747709656767,7.13138446330347e-05,-2.037449520940925e-05,-8.102664381654358e-05,-8.382810463462107,22.587968095751528,-36.019585229609426,0.7116627250139829,-0.687289571136575,-0.04789313545390203,965.766765083472,0.06360569540582953,-0.14892916344594026,9.695629872894274,8.969043814074455e-05,1.7922518176868512e-05,-7.4889972503301325e-06,-8.316045338819396,22.98055748741879,-35.743428238146926,0.7743101780511129,-0.6414541572085201,-0.03771239990797077,981.2971014694474,0.0007153170228636084,0.0007847974384358238,0.06003089289678282,1.1754430083398397e-05,2.433313468607595e-05,4.3125067792975096e-05,0.07151198444002216,0.15337972322253243,0.21940817666406337,0.0362457540317612,0.030383526181639198,0.006378012438183418,6.427841013853171,0.06367058951392465,-0.1490627155297306,9.715660180841411,8.910463467314467e-05,1.5141907589523323e-05,-3.0320756477651948e-06,-8.348310826203043,23.064378583222226,-35.801489336696264,0.7758797962777431,-0.6437929984590405,-0.03842895120904882,983.4197321204038,5.116784431984561e-07,6.159070193754308e-07,0.00360370810198501,1.3816662658550127e-10,5.921014436507126e-10,1.8597714721486978e-09,0.005113963918549972,0.023525339495820655,0.04813994798704885,0.0013137546853309334,0.0009231586632303546,4.0679042661622385e-05,41.317140099372956,-1.2441861058225758,0.23836548760081566,-0.3848410171857002,-1.2593158694234605,-0.8534311880483534,-1.3946418442917579,-0.3987507188359105,0.13207928485343112,0.0709929586917748,-1.2551685748983739,-1.2161494753302862,-1.1332837887274947,-0.374277599390032,-0.26529081238543284,0.9838526366277544,-0.86902754723599,0.21380579802272673,0.15272773625455918,-0.15099188176045317,0.9408242084470971,-1.1779182832985775,0.9507044236660325,-0.11195782661504307,0.17198951379607788,0.17001344240658464,-0.8718903759789537,9.908164731746046,0.00015259298029487057,67.04003106438512,1.453476735167604,0,0.0,2
