Timestamp,MaxAx,MaxAy,MaxAz,MaxGx,MaxGy,MaxGz,MaxMx,MaxMy,MaxMz,MaxLiAx,MaxLiAy,MaxLiAz,MaxP,MinAx,MinAy,MinAz,MinGx,MinGy,MinGz,MinMx,MinMy,MinMz,MinLiAx,MinLiAy,MinLiAz,MinP,MeanAx,MeanAy,MeanAz,MeanGx,MeanGy,MeanGz,MeanMx,MeanMy,MeanMz,MeanLiAx,MeanLiAy,MeanLiAz,MeanP,StandardDeviationAx,StandardDeviationAy,StandardDeviationAz,StandardDeviationGx,StandardDeviationGy,StandardDeviationGz,StandardDeviationMx,StandardDeviationMy,StandardDeviationMz,StandardDeviationLiAx,StandardDeviationLiAy,StandardDeviationLiAz,StandardDeviationP,MedianAx,MedianAy,MedianAz,MedianGx,MedianGy,MedianGz,MedianMx,MedianMy,MedianMz,MedianLiAx,MedianLiAy,MedianLiAz,MedianP,VarianceAx,VarianceAy,VarianceAz,VarianceGx,VarianceGy,VarianceGz,VarianceMx,VarianceMy,VarianceMz,VarianceLiAx,VarianceLiAy,VarianceLiAz,VarianceP,KurtosisAx,KurtosisAy,KurtosisAz,KurtosisGx,KurtosisGy,KurtosisGz,KurtosisMx,KurtosisMy,KurtosisMz,KurtosisLiAx,KurtosisLiAy,KurtosisLiAz,KurtosisP,SkeAx,SkeAy,SkeAz,SkeGx,SkeGy,SkeGz,SkeMx,SkeMy,SkeMz,SkeLiAx,SkeLiAy,SkeLiAz,SkeP,SMAAcc,SMAGyr,SMAMag,SMALiAcc,MeanMagAcc,MeanMagGyr,MeanMagMag,MeanMagLiAcc,IqrMagAcc,IqrMagGyr,IqrMagMag,IqrMagLiAcc,STDMagAcc,STDMagGyr,STDMagMag,STDMagLiAcc,VarMagAcc,VarMagGyr,VarMagMag,VarMagLiAcc,GroupType,Type,Pose,Unitmotion,Activities
0,0.02924169207232594,-0.0005876057879999999,4.564462858357755,3.455696350472599e-05,0.00020531611500094235,3.8534433162946695e-05,0.40122347649873175,10.253878068639379,-0.058598883819580075,-0.0012343408942222594,0.06066893157217229,0.021213727312149648,463.2970414095066,0.00017927756279999997,-0.07198285725132608,0.0350692632,-3.7023403180886878e-06,1.8434378318488597e-05,-5.540681532081216e-06,0.0004505407333374023,0.07982941360473633,-7.154965767189294,-0.15519917675585776,0.0005060334384441375,0.00020587348937988273,3.566024560546875,0.013322893253895579,-0.03285316525204983,2.0845965370363224,1.4108922762360486e-05,0.00017267674820438552,1.293629760992879e-05,0.182680501320276,4.693589536363902,-3.2839475214842015,-0.07237190372847002,0.02804898808603165,0.009986570542713485,211.6273233756421,0.009425210453878705,0.023142258583430334,1.474130429755642,1.3189726127647404e-05,5.189093824186204e-05,1.3564430824983731e-05,0.1301224317886868,3.3162278890634345,2.3068958778386564,0.05024681572873646,0.019651326926446937,0.006903714028229207,149.62440591702298,0.012729638852216623,-0.03135100127415819,1.9871694727117113,1.2855264216949809e-05,0.00019843881847990042,9.438038103389113e-06,0.1806293530988693,4.482704136356884,-3.1426923464235266,-0.07004860794369637,0.02692339697485504,0.009693055192633374,201.76228433574443,8.883459209990444e-05,0.000535564132342355,2.1730605239315537,1.7396887532234458e-10,2.6926694716207403e-09,1.839937836057688e-10,0.016931847254601447,10.997367412202124,5.3217685911889845,0.0025247424908775976,0.00038617464997009845,4.766126738356875e-05,22387.462846022063,-1.283154813403163,-1.288987788343069,-1.2989625522986719,-1.3657461707135425,2.1487462881234407,-1.1684462072761865,-1.2987077079621694,-1.3032121764359867,-1.2991887510609115,-1.314574453665458,-1.311342600410657,-1.343130665677224,-1.2990842001616858,0.16634319872808956,-0.16535989381166907,0.16348931254590163,0.1862602570398338,-1.8230280411746704,0.3560791216702802,0.11418928628694917,0.1589718881057047,-0.15480670751468695,-0.12207147850835932,0.14080124835978106,0.11030331813836335,0.16316978798886164,2.130772595542268,0.00020194548060133301,8.16021755916838,0.11040746235721516,2.0848979815135373,0.000174464597251291,5.731299613666111,0.07825749202093105,2.5413262515927038,3.240962624577985e-05,6.9742127847417015,0.09407478347982957,1.4743421854501806,5.2780796885556396e-05,4.041747778434388,0.054392190650728596,2.1736848797980146,2.78581251987436e-09,16.33572510447931,0.0029585104037852072,1,13.0,Texting,Phone on table,1
1,0.04472026103571762,-0.041651439362501215,6.96752580250285,3.455696350472599e-05,0.00020281749928541376,9.941953569825448e-05,0.6364464770455014,15.587372038133736,-4.175236083338875,-0.092566101804308,0.08901710031941668,0.032407659274206295,707.0953317586775,0.016865246756361883,-0.11055149689876528,2.6510644061695023,-2.7842469875991823e-05,3.795622841693691e-05,1.751162700690256e-05,0.2345518745100065,5.975906244180372,-10.965221623479842,-0.22565202536011336,0.03573997878327445,0.012823444844231395,269.142663780188,0.03210501997695025,-0.0791754041538473,5.013211140678985,-4.522206141054674e-06,0.00014706241522567326,5.341548311634836e-05,0.4467138491858462,11.249436419671332,-7.871404885761386,-0.16781707055411407,0.06570290292987827,0.023361529501188673,508.82281354799073,0.008618896223605956,0.02133522267846785,1.3360805687325998,2.2160357636754045e-05,5.466768331869616e-05,2.6377562209924094e-05,0.12453348845410248,2.975215181202647,2.0996317623693344,0.041300931561087745,0.016446747739208557,0.005983318224107925,135.55959656606473,0.032913224878104726,-0.08107445186930098,5.134119328019506,-1.3289129110142544e-05,0.00016290391531850382,4.940236684669572e-05,0.4564936656670986,11.521385906413144,-8.049327699370519,-0.17290041865887737,0.06770245284442125,0.023685523336654173,521.0899326005288,7.4285372113289e-05,0.0004551917267398089,1.7851112861448273,4.910814505888433e-10,2.98855559943325e-09,6.957757881384157e-10,0.015508589746548073,8.8519053744587,4.408453537550156,0.001705766947813654,0.0002704955111971618,3.580009697094202e-05,18376.40422115423,-1.1781514672462703,-1.1877098747454855,-1.1826537990600468,-1.2452298771601709,-0.9540993861538349,-1.269912549396287,-1.2265229053728095,-1.1791981422293096,-1.1862947535683426,-1.1487310897447116,-1.1410755162642225,-1.1759860628353425,-1.1825967312812582,-0.22012061306161482,0.2041405330398167,-0.21247359326902746,0.5424386035595843,-0.6405676761069422,0.26235190137396397,-0.1414178795530293,-0.2168538240314981,0.19913352845368912,0.2926209310110711,-0.2833100455045854,-0.153863322997597,-0.21258091866312784,5.124491564809782,0.00022084896228471195,19.567555154618564,0.25688150298518103,5.013939118785681,0.00016522563885435325,13.737129766384088,0.18172893140332883,2.1855723577280854,6.784293618864617e-05,5.952582811288254,0.07298671731904988,1.3362786728226868,3.5500920568292245e-05,3.6435568819721293,0.04485366517167134,1.7856406914407612,1.2603153611961955e-09,13.275506752166464,0.0020118512793324025,1,13.0,Texting,Phone on table,1
2,0.05324498986807011,-0.08946704200026001,8.364478539417185,-2.2030489120693083e-05,0.00013795986815893726,0.00010977218919297652,0.7586822518679913,18.658659672998226,-8.87781672601636,-0.18891220444425685,0.10068157035796219,0.04047815340759896,848.8382292324952,0.036290099440324505,-0.1324798199944179,5.659814494937593,-8.058452890393805e-05,-7.803854951199996e-05,6.489216382860402e-05,0.5053083127723854,12.691901486915391,-13.211088413140958,-0.25533257228395834,0.07398550796220181,0.02610684090393125,574.4336288024447,0.04625599420374644,-0.11424096154480824,7.207102056450836,-3.7553844887298833e-05,1.9455395593813427e-05,8.928411866127655e-05,0.655610133161232,16.10896906376572,-11.351580988407543,-0.23012549066958712,0.09063989633889699,0.03397782971831681,731.4116874686569,0.005306759704539737,0.013240695807882842,0.8293377020020971,1.8369192593477573e-05,6.696002197449069e-05,1.540452125819685e-05,0.07923653013066005,1.824838938671767,1.330038341575198,0.02063431802756625,0.00833166286926031,0.004426590086840407,84.14112296394879,0.04708969909942592,-0.11613083730181135,7.317908141796426,-2.936793528916919e-05,1.1052223625967467e-05,9.098911268391707e-05,0.6724172007631926,16.355174580235616,-11.53042239387735,-0.23456058928765539,0.09258694179978437,0.03441571625653878,742.6515582208779,2.816169856172667e-05,0.00017531602547688627,0.6878010239621192,3.3742723653627135e-10,4.483644542824276e-09,2.3729927519423873e-10,0.006278427707146998,3.330037152092701,1.769001990060103,0.0004257750804627455,6.941660616701094e-05,1.959469979691376e-05,7079.728573634351,-1.1299790977233402,-1.0963651962710874,-1.100543350392019,0.19066248350008497,-1.1250639397085738,-1.4302121078892396,-1.1032594754952907,-1.0889870942427398,-1.1065698828311898,-0.9664304909086181,-0.9509441940976262,-1.1904386284802935,-1.1006481300091622,-0.37227078870340885,0.34358071617077596,-0.3249953302475754,-1.2531198595732878,0.2315131364065058,-0.15743813112416613,-0.4351079834225257,-0.33113372932657237,0.3206719375631163,0.520760893473562,-0.5464057210542798,-0.2137743406927831,-0.3249037101157375,7.367599012199391,0.0001832743875646355,28.1161601853345,0.3547432167268009,7.208155846989992,0.00012032768909527516,19.717719567546894,0.24965943299523996,1.3306279288073233,1.3420497860643245e-05,3.6106885488646547,0.03597987956234533,0.8294603375557827,1.1978321478098978e-05,2.259180300067423,0.022642779019940946,0.688004451578153,1.4348018543268727e-10,5.103895628212732,0.0005126954417458779,1,13.0,Texting,Phone on table,1
3,0.05726648666529571,-0.12103265469718326,9.093162688607128,-3.2148565042777146e-05,-1.0934067671379092e-05,0.00010762476031269784,0.8070621874453432,20.32978232046596,-12.029500610305554,-0.24207595797705198,0.10206407422401194,0.04526378388491696,922.8038041803908,0.04923760868009269,-0.1436250810486783,7.629753047100372,-0.00010215444065093608,-8.227372017925754e-05,6.933607165218575e-06,0.701109694296832,17.039358116512634,-14.397530538997785,-0.25911746493595567,0.09545047982090464,0.0362114401949266,774.2958113348653,0.05392822911362934,-0.13422607922860352,8.483717281141907,-7.770357319015258e-05,-5.957293158316632e-05,5.797953333429284e-05,0.7661726655957191,18.939675394227976,-13.408083581174466,-0.25487349053762165,0.10040924163341515,0.04120146735516321,860.9491303776655,0.002395568558346429,0.006817427547353316,0.44702378013526256,2.2110392132958883e-05,2.0280347852417093e-05,3.240317720490974e-05,0.03252564116911818,1.007729220513355,0.7246831581391238,0.005193049710450431,0.0019767469960536833,0.0027270912828322256,45.36702104497186,0.05434365828652845,-0.13526025735705832,8.552374141688755,-8.709004731586152e-05,-6.496406544614533e-05,6.63132422983458e-05,0.7761690393553076,19.080037970015827,-13.520205455628352,-0.25754935153631686,0.10134994604306084,0.041567286398859406,867.9184752503301,5.738748717737987e-06,4.6477318363411855e-05,0.19983026000641957,4.888694402732101e-10,4.1129250901503856e-10,1.0499658929727822e-09,0.0010579173334622353,1.015518181876454,0.5251656796904942,2.6967765295209306e-05,3.90752868640726e-06,7.437026864899513e-06,2058.1665984949195,-0.9993717869450056,-1.0161765763388857,-1.0544684514301388,-0.6197887516838891,0.3577690107903502,-1.1720493048228342,-0.9973560448844845,-1.0824573840215699,-1.064100680231905,0.08752809528683159,0.24127740225271044,-1.0789057556049857,-1.0548500295721028,-0.3859303354703749,0.3885765185697992,-0.3782458187262346,0.8646225227411832,1.182827703360988,-0.1446925235612963,-0.544469587820766,-0.348971106843317,0.37466350078602856,1.1535745910105213,-1.2081940266336335,-0.276682357344847,-0.3779415865445323,8.671871589484137,0.00019525603810761175,33.11393164099816,0.3964841995262,8.48495044578455,0.00012149382079394545,23.217993709694266,0.2770266801365089,0.7102023063715208,1.3618227654221745e-05,1.9826069370961577,0.007497992923262975,0.44708186959689067,7.891186212824133e-06,1.2415842183195522,0.005869342755322237,0.19988219812225116,6.227081984546567e-11,1.5415313711801737,3.444918437945363e-05,1,13.0,Texting,Phone on table,1
4,0.05831733786550503,-0.13770859905295088,9.452487632960484,-5.0455121392572884e-05,-5.6042149921403156e-05,5.2714294025772205e-05,1.005963420668559,21.046459735688366,-13.789583888158823,-0.24551770491929564,0.10206407422401194,0.047037327836394284,959.1319187797747,0.05516991430139832,-0.149484391866375,8.71678325457149,-0.00010215444065093608,-0.00010092194615680674,-1.948927258405706e-06,0.7857404376354861,19.460439918809794,-14.915517456974607,-0.25911746493595567,0.09788290311881649,0.04248938937611575,884.6010512265239,0.057314933854211714,-0.14459654422069518,9.150433933137554,-7.83350826456481e-05,-7.873226146216884e-05,1.1295444334093165e-05,0.8475495722396248,20.444171472057896,-14.482901845918155,-0.25501370610927837,0.10072937389541575,0.04553529606845405,928.5788538164164,0.001025568667298914,0.0036292522164825492,0.22426160108521098,1.5309268316975035e-05,1.424201610234082e-05,1.4862171551959803e-05,0.0635427379209362,0.4968508778905974,0.35394092161644763,0.0044027616501672705,0.0013525800536471155,0.0015599853412623377,22.722829060930266,0.05776441559595646,-0.14517127191848606,9.18715336628322,-7.977808930318344e-05,-7.886088082853559e-05,5.519321535734262e-06,0.8218542546117099,20.54887460790794,-14.556216312047358,-0.2567573096476146,0.10129798167329004,0.046095404595065344,932.3322679545282,1.0517910913452705e-06,1.3171471650843498e-05,0.050293265721302306,2.343736964011356e-10,2.0283502265933523e-10,2.2088414323988324e-10,0.0040376795424887845,0.24686079486065735,0.1252741759947003,1.9384310148183627e-05,1.8294728015240342e-06,2.4335542649533724e-06,516.326960532257,-0.7413721511685485,-1.0733927844778401,-1.028024558387554,-1.0802080634488245,-1.2358811124740385,1.2797946060061482,0.14280602184721447,-1.001841029428242,-1.026582564680754,-0.6717860832205798,-0.8219777589631132,-1.034595410616392,-1.0261674623250252,-0.8045686633620829,0.3697995951567699,-0.40566575678061656,0.0809420941127357,0.04258989635040221,1.463782005555916,1.1167451333183507,-0.5023521090850062,0.4792988898306735,0.8196744014609968,-0.7506868177382812,-0.6363447357013865,-0.4087279008411459,9.352345411212463,0.0001688816883204684,35.77462289021568,0.40127837607314815,9.15175581995223,0.00011387787159281185,25.068687750282376,0.2779506762369381,0.3542739021057457,7.4860674265695115e-06,0.9841753675066407,0.006393833126983828,0.2242927039273557,1.1471919523514271e-05,0.6114817710158265,0.004328115466118867,0.05030721703504444,1.316049375539879e-10,0.3739099562846517,1.873258348805734e-05,1,13.0,Texting,Phone on table,1
5,0.05831733786550503,-0.14648213919786554,9.622080961658938,1.7209020528189548e-05,-3.864255202436229e-05,3.741079065682603e-05,1.6908812343965356,21.08752988220589,-14.686258762740161,-0.22715719445016835,0.10056309224875713,0.047459445839311346,976.2918029028266,0.0556680104604351,-0.1517028668353399,9.26863294443393,-7.355030888496857e-05,-0.00010092194615680674,-3.056503064790955e-06,0.8446673993633731,20.734991510500517,-14.936100870518295,-0.2546971989285748,0.09201621856601262,0.046681435677368335,940.5763191565119,0.05728199244071322,-0.14976771689418436,9.478800782197501,-3.1545814105799806e-05,-6.684423109134844e-05,1.4755998292349456e-05,1.1677740170395736,20.99944763221376,-14.85418843115695,-0.24161257346023546,0.09658377518010358,0.04714187901022102,961.8043129876014,0.0009185308977783514,0.0015891232676433643,0.10764234612965326,3.1397036460251794e-05,1.9182882904251723e-05,1.4201934639445462e-05,0.27076672187964723,0.09832959408959596,0.07088826576970732,0.008646099746424947,0.002689563878594178,0.00019369934042113445,10.875711721110992,0.05743933895838861,-0.15014879329875264,9.49753978059116,-3.608072245598437e-05,-6.466746990806467e-05,1.0960363698072132e-05,1.103929455894477,21.027931867032276,-14.871035508197409,-0.24191520961549773,0.09679364237496135,0.04713395306462206,963.6834199701922,8.436990101735043e-07,2.525312759765524e-06,0.011586874680296079,9.857738984863805e-10,3.67982996518233e-10,2.0169494750308088e-10,0.07331461767745023,0.009668709073824704,0.005025146223836658,7.475504082512953e-05,7.233753857038559e-06,3.751943447958253e-08,118.281105440711,-1.2643165310144138,-0.8173630302924031,-1.0053160416630382,-1.4168220449795526,-0.808840300369337,-1.447232983922736,-1.0599127032603641,0.8812676116405886,-0.4289851555600439,-1.2403886331649765,-1.235901239714407,-0.3595301213537492,-1.006543945801358,-0.420726242828754,0.6174188242403553,-0.43130651584104807,0.23692428737796542,-0.34641951232861595,0.2893692446481674,0.5011494331180647,-1.358276952648537,0.7212592483405591,0.10273023256842169,-0.16843788548657887,-0.1779018651338374,-0.4289921674409992,9.6858504915324,0.00011900777608747995,37.02141008041028,0.3853382276505601,9.480157075200097,8.081915192868612e-05,25.749903957875432,0.26444466612163253,0.16928640324665878,3.407364761878333e-05,0.12119605292555491,0.01468703865495019,0.10764683647786844,2.5870824013468585e-05,0.1222414598457072,0.008849544485867349,0.011587841403692945,6.692995351358627e-10,0.014942974505209646,7.831443760734519e-05,1,13.0,Texting,Phone on table,1
6,0.05704966381749814,-0.1507017169583467,9.700435452565092,5.08581563556877e-05,5.223650351782091e-05,3.741079065682603e-05,2.3830939050895177,21.085826317505663,-14.532526997226254,-0.20915580181892388,0.0956156520851532,0.047459445839311346,984.1827308080584,0.05430940422698243,-0.15344401319927917,9.536210292188734,-2.032928944013981e-05,-6.470626538529345e-05,-2.1236227894085616e-05,1.2295891791523939,20.742469281958122,-14.917101532096455,-0.2383539968506104,0.08710220073244365,0.04686632625213797,967.5941107851324,0.05549368898262723,-0.15213874264676,9.634059950941825,1.980009601063262e-05,-1.6971399947839333e-05,-1.5119309459457493e-06,1.8343184154018868,20.92460618693708,-14.719915332931391,-0.22356837094551701,0.09121099360177719,0.04728753555495548,977.5028015193184,0.000794729112973953,0.0008794342679862725,0.049905185028322474,1.8265182049628186e-05,3.6249033487429584e-05,2.078640869103427e-05,0.3662603282323724,0.11454774847512862,0.12434220821478019,0.00894993139890354,0.002535441077641484,0.00015079791909396967,5.047129305851797,0.055384309750304964,-0.15213219997850833,9.642914548287651,2.3507133033153924e-05,-3.319421399011275e-05,-7.74215560698982e-06,1.8509830755324281,20.92864118248609,-14.712810025293487,-0.22354790651151804,0.09112241597078864,0.047318916681087696,978.4010944269478,6.315943630083661e-07,7.73404631708551e-07,0.0024905274927111013,3.3361687530605964e-10,1.3139924287727915e-09,4.32074786270705e-10,0.13414662803688518,0.01312118668072133,0.015460984743727748,8.010127204507947e-05,6.42846145819181e-06,2.2740012403071425e-08,25.473514229988044,-0.8709416508671874,-1.342332122813992,-0.9938835714274092,-0.30386226117932713,-1.1283060958456512,-0.8098917587869265,-1.271864688022514,-1.3980745879904266,-1.3162046480003375,-1.1991607421720794,-1.0837379764161879,1.6680891012269274,-0.992530747939059,0.35005992723994955,0.014614522151859403,-0.43885482498108885,-0.4080592630188098,0.4639467326530047,0.8240056569448028,-0.1007393771003874,-0.08454315695785507,-0.0875251762234049,-0.02415911392700757,0.10711782481843152,-1.488556727122814,-0.4429316381969069,9.841692382571212,7.618179460801438e-05,37.478839935270365,0.3620669001022497,9.635421009904302,5.00282301693179e-05,25.651852456737323,0.24605332094527188,0.07824766529781613,1.7698532855892662e-05,0.24449822425600587,0.014658753288589399,0.04990722600297795,1.3541258952827251e-05,0.13867198038838172,0.009084469708828133,0.0024907312073123183,1.8336569402752417e-10,0.019229918144835725,8.25275898906159e-05,1,13.0,Texting,Phone on table,1
7,0.05519552440616768,-0.15254519490988058,9.736569211016773,5.475093809971162e-05,0.00011497499317777558,3.6658631769837515e-05,2.803751503785443,20.872234451884324,-14.387769154722712,-0.19219397307408606,0.09020242398566193,0.04741883883191818,987.7377692169932,0.053525475506282345,-0.15521801246631325,9.660663732275719,1.5040790312270545e-05,-2.8617242082393357e-06,-2.1236227894085616e-05,2.00470602552903,20.55988530812763,-14.659452417286577,-0.21990574628965678,0.08251595819302159,0.04659232783211116,980.2045538654412,0.05419315509561796,-0.1538574063494082,9.705971917146726,3.559885430364861e-05,6.377584002595028e-05,3.0559946229074347e-06,2.446073609110558,20.703460505061006,-14.503497105391977,-0.20578096748059627,0.08626630875786288,0.04691186302751596,984.7219074383793,0.00052433067392581,0.0007994465432304755,0.023116479401833177,1.2055342804084007e-05,3.9267836925085375e-05,1.8500441155857524e-05,0.23534095840053423,0.09797115771092745,0.08544966636187565,0.008504853448201281,0.00235673861086805,0.0002989949947805849,2.2908780074078283,0.054110595155936025,-0.15379496718968416,9.710232031815165,3.448212785148023e-05,6.663044889691526e-05,3.995936522590352e-06,2.469300301529632,20.70030946336467,-14.490356400039872,-0.20572499088352017,0.0861415637285538,0.04680856944669057,985.1391108449453,2.74922655619494e-07,6.391147754831565e-07,0.0005343716199353776,1.4533129012398006e-10,1.5419630167750986e-09,3.422663229613468e-10,0.05538536670088198,0.009598347743219418,0.007301645481355862,7.233253217538123e-05,5.554216879956266e-06,8.939800690384199e-08,5.2481220448248616,-1.0161494461185174,-1.1842385418326202,-0.998344096775035,-1.176517350942278,-1.3128712584445992,-1.2068487853736372,-0.9950621434786635,-1.2303831468605446,-1.1826562750477216,-1.2016992060472484,-1.1951089097914962,-1.0977061968451896,-0.9816645642633666,0.37799827491053856,-0.09242841735783254,-0.44659992185062536,0.10167362517624223,-0.23728374719981055,0.09992681080864182,-0.25764453977832796,0.11401641359618749,-0.3101151580310606,-0.02773027712384886,0.08615935215336172,0.6993308106028726,-0.45395190337488994,9.91402247859175,0.00011557743081932449,37.65303121956354,0.33895913926597515,9.707342605346444,8.011164082077201e-05,25.397372719101625,0.2280175065274182,0.036374849768561646,5.3557504372071854e-05,0.17676044884135678,0.014059777807648943,0.023122694602566555,3.0181370349950998e-05,0.1062337462196684,0.008616802557849218,0.0005346590056835604,9.109151162009012e-10,0.01128560883586491,7.424928632095681e-05,1,13.0,Texting,Phone on table,1
8,0.054678723518928475,-0.1541925805019734,9.751762399359187,4.1684486552281845e-05,0.00011497499317777558,5.5275526435773644e-05,3.0724615387263134,20.6576079357631,-14.35557423241237,-0.17880046967015178,0.08523595089581337,0.047093514397795404,989.3118486713219,0.053525475506282345,-0.15555261875201834,9.718495733763369,-3.793597260932226e-05,7.009858297130604e-05,1.1584487341116587e-05,2.5447872520205523,20.435612799348423,-14.456407668660722,-0.20230540506874953,0.07607202356202745,0.046234691771345135,985.9538923737226,0.053947864406784736,-0.15514156526894327,9.738806065816336,1.926834083663548e-06,9.231179371679225e-05,3.84388132025838e-05,2.8554813258848384,20.535850238302984,-14.38836271872611,-0.1897815107904288,0.0810863010602634,0.04659486123965274,987.9739616733598,0.00034856760749426283,0.00044202567342217303,0.010242098315737887,2.4951190348989672e-05,1.1746527943029802e-05,1.541228517575973e-05,0.17083685552015884,0.06765580363375177,0.03066785886435521,0.007150907557524043,0.0028217815580554796,0.00021006978741889282,1.020504965277853,0.0538912452392795,-0.15533685298288497,9.740938268593439,2.839667794152585e-06,8.798266975519188e-05,4.414948766605014e-05,2.8833154257388176,20.534596841879797,-14.376961226580605,-0.18936636079458175,0.08134172990751147,0.04663918525470097,988.1635915466576,1.2149937699427447e-07,1.9538669596432558e-07,0.00010490057790924085,6.225618998315154e-10,1.3798091871637995e-10,2.375385343389431e-10,0.02918523120401563,0.00457730776532878,0.0009405175673240106,5.113547889625447e-05,7.962451161382009e-06,4.4129315586218826e-08,1.0414303841567523,-0.7438630235811279,-0.5739727049519487,-0.9821950396041945,-1.2353573890415634,-0.4989110685396936,-1.2280992868308418,-1.1811181686824572,-1.0871774205861393,-0.4597271561195537,-1.1474143742547087,-1.1785754238966242,-0.29136388234698307,-0.9718366119009598,0.6122092465836176,0.9276374625428752,-0.4912216031606614,-0.09945472643926662,0.598735703821597,-0.5699342498076918,-0.3552190786278408,0.1671910289764168,-0.8774009689560275,-0.15416648731026616,-0.21733035856045013,0.125250899913023,-0.4632433358806755,9.947895495492066,0.00015202225833065247,37.77969428291394,0.317462673090345,9.740191119107575,0.00010443271031136536,25.23748257458354,0.21157950170951717,0.01625778659885846,7.68222048055177e-06,0.07479718360345089,0.012136671120708542,0.010248828823831001,7.5477248927596275e-06,0.05292063614275518,0.007498748841926283,0.00010503849226018915,5.696815105678333e-11,0.0028005937297538863,5.6231234194290775e-05,1,13.0,Texting,Phone on table,1
9,0.05604282643405022,-0.1552594672534028,9.75819994436828,-7.050927243192539e-06,8.875739932550743e-05,5.5275526435773644e-05,3.0742070454155455,20.507955450836455,-14.35557423241237,-0.16589553816025435,0.08012229299941577,0.04757625022014822,990.0017805317353,0.05394936736354679,-0.15555261875201834,9.744525876935151,-6.45206782961037e-05,-2.427370272014112e-05,-2.0899299867961162e-05,2.9498355611885927,20.400311004596634,-14.486802947683955,-0.1866620279894889,0.06889707180575018,0.046234691771345135,988.5245465548137,0.05497070635497894,-0.15540166110200013,9.752685629196753,-4.308133328916457e-05,4.084712141156354e-05,2.2935992713673265e-05,3.0263286055975716,20.438674080171786,-14.397526002696504,-0.17624352281157565,0.07456874691691084,0.04707322789907502,989.4148735905168,0.0006630062238159819,0.00010457532967021404,0.004040102457670769,1.8605419201828255e-05,4.199941218389826e-05,2.785450704204859e-05,0.04050087393825687,0.03163487783596826,0.04148970701324794,0.006309098368118508,0.0035061580877268073,0.0005214961569789599,0.44886624563328226,0.05493268058744491,-0.15544092441240587,9.75332757444386,-4.362229018565136e-05,4.4829074999764436e-05,2.4575758550847702e-05,3.0381708656260122,20.435334447156386,-14.381331938286735,-0.17635212263542102,0.07460807734083806,0.04730278958980279,989.4991193421882,4.3957725281872787e-07,1.093599957563395e-08,1.6322427868477384e-05,3.4616162367575955e-10,1.7639506237929819e-09,7.758735625555345e-10,0.0016403207897625746,0.0010007654956966357,0.0017213957880451549,3.980472221859562e-05,1.22931445361321e-05,2.719582417438239e-07,0.2014809064689181,-1.2898893320622717,-1.639083753387661,-0.89242189046956,-1.047090137011929,-1.5063929365498523,-1.5472084803187194,-1.1124566156684614,-0.5357762958791037,-0.6392453399515556,-1.175565871484421,-1.2578985200846857,-1.3964060897397852,-0.9667333596591008,0.07488246533327686,0.08877147107891897,-0.45692332957632625,0.47706407778369053,-0.231863672286672,-0.20152154459952795,-0.47490624062569836,0.6860062707112853,-0.8327657818425688,0.006470869527714351,-0.018426257924681163,-0.5825312074667319,-0.4682572407394142,9.963057996653733,0.00012136566359602253,37.86252868846586,0.29788549762756156,9.75407857542179,8.060720639373101e-05,25.18313842417709,0.19708672339096278,0.006058631905753842,3.7763362686326634e-05,0.037043989565862745,0.010989953451259166,0.004041876161966989,1.835906401840222e-05,0.023828256858913616,0.006866633518454231,1.6336762908677002e-05,3.3705523163179116e-10,0.0005677858249343638,4.7150655876759134e-05,1,13.0,Texting,Phone on table,1
