Name,Feature,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Total,Max,401,DT,88.98,85.74,86.62,86.17,0.49152302742004395,0.6,1.09
Total,Max,401,KNN3,89.2,80.05,89.43,83.64,0.038649797439575195,0.6,0.64
Total,Max,401,KNN7,87.5,76.09,89.15,80.47,0.04354071617126465,0.6,0.64
Total,Max,401,ETC100,94.56,89.4,95.1,91.9,1.163642168045044,0.6,1.76
Total,Max,401,ETC50,94.62,89.45,94.96,91.88,0.5900709629058838,0.6,1.19
Total,Max,401,ETC25,94.18,89.27,94.66,91.66,0.30532026290893555,0.6,0.91
Total,Max,401,ETC10,93.51,88.59,93.78,90.9,0.1387648582458496,0.6,0.74
Total,Max,401,RFC100,93.18,88.58,94.26,91.08,4.905117511749268,0.6,5.51
Total,Max,401,RFC50,93.0,88.46,94.28,91.02,2.4514691829681396,0.6,3.05
Total,Max,401,RFC25,92.79,88.32,93.5,90.62,1.2392256259918213,0.6,1.84
Total,Max,401,RFC10,91.8,86.63,92.46,89.19,0.5006022453308105,0.6,1.1
Total,Min,401,DT,90.36,85.9,88.26,87.01,0.47582268714904785,0.6,1.08
Total,Min,401,KNN3,89.38,80.73,89.73,84.24,0.039302825927734375,0.6,0.64
Total,Min,401,KNN7,88.02,77.55,89.93,81.88,0.038622140884399414,0.6,0.64
Total,Min,401,ETC100,95.23,91.61,95.94,93.57,1.1774392127990723,0.6,1.78
Total,Min,401,ETC50,95.06,91.5,95.65,93.39,0.5881969928741455,0.6,1.19
Total,Min,401,ETC25,94.93,91.15,95.54,93.14,0.3049616813659668,0.6,0.9
Total,Min,401,ETC10,94.51,89.7,95.11,92.11,0.137115478515625,0.6,0.74
Total,Min,401,RFC100,94.01,89.57,95.33,92.11,4.977390289306641,0.6,5.58
Total,Min,401,RFC50,93.9,89.23,95.24,91.87,2.4739439487457275,0.6,3.07
Total,Min,401,RFC25,93.47,88.38,94.63,91.1,1.231226921081543,0.6,1.83
Total,Min,401,RFC10,92.72,86.99,93.94,89.97,0.5089781284332275,0.6,1.11
Total,Mean,401,DT,87.93,83.64,85.29,84.43,0.5386128425598145,0.6,1.14
Total,Mean,401,KNN3,88.48,79.02,88.06,82.49,0.03870868682861328,0.6,0.64
Total,Mean,401,KNN7,87.12,75.27,88.77,79.7,0.03897237777709961,0.6,0.64
Total,Mean,401,ETC100,93.9,89.58,94.91,91.92,1.2074213027954102,0.6,1.81
Total,Mean,401,ETC50,93.73,89.2,94.62,91.58,0.6100049018859863,0.6,1.21
Total,Mean,401,ETC25,93.42,88.44,94.37,91.02,0.31751203536987305,0.6,0.92
Total,Mean,401,ETC10,92.9,87.21,93.97,90.12,0.1455686092376709,0.6,0.75
Total,Mean,401,RFC100,92.59,87.33,94.25,90.28,5.22486424446106,0.6,5.82
Total,Mean,401,RFC50,92.44,87.23,94.13,90.18,2.6353628635406494,0.6,3.24
Total,Mean,401,RFC25,92.33,86.89,94.04,89.92,1.327226161956787,0.6,1.93
Total,Mean,401,RFC10,91.61,85.91,92.2,88.63,0.5403759479522705,0.6,1.14
Total,StandardDeviation,401,DT,82.8,74.3,74.56,74.43,0.49430036544799805,0.6,1.09
Total,StandardDeviation,401,KNN3,82.45,71.0,81.93,74.74,0.039041996002197266,0.6,0.64
Total,StandardDeviation,401,KNN7,83.85,70.91,85.89,75.36,0.0392458438873291,0.6,0.64
Total,StandardDeviation,401,ETC100,88.72,79.21,90.69,83.43,1.2154366970062256,0.6,1.82
Total,StandardDeviation,401,ETC50,88.57,78.98,90.58,83.22,0.6215147972106934,0.6,1.22
Total,StandardDeviation,401,ETC25,88.59,79.12,90.82,83.4,0.31440043449401855,0.6,0.91
Total,StandardDeviation,401,ETC10,87.13,77.64,88.85,81.73,0.13922357559204102,0.6,0.74
Total,StandardDeviation,401,RFC100,88.65,79.27,89.43,83.13,5.023270130157471,0.6,5.62
Total,StandardDeviation,401,RFC50,88.65,79.16,89.59,83.08,2.5407207012176514,0.6,3.14
Total,StandardDeviation,401,RFC25,88.41,78.98,88.65,82.68,1.2895514965057373,0.6,1.89
Total,StandardDeviation,401,RFC10,87.39,77.4,87.73,81.22,0.5271563529968262,0.6,1.13
