Name,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Holding Styles,502,DT,1.0,1.0,1.0,1.0,0.01,1,1.01
Holding Styles,502,KNN3,1.0,1.0,1.0,1.0,0.01,1,1.01
Holding Styles,502,KNN5,1.0,1.0,1.0,1.0,0.01,1,1.01
Holding Styles,502,ETC100,1.0,1.0,1.0,1.0,0.15,1,1.15
Holding Styles,502,ETC50,1.0,1.0,1.0,1.0,0.07,1,1.07
Holding Styles,502,ETC25,1.0,1.0,1.0,1.0,0.04,1,1.04
Holding Styles,502,ETC10,1.0,1.0,1.0,1.0,0.02,1,1.02
Holding Styles,502,RFC100,1.0,1.0,1.0,1.0,0.25,1,1.25
Holding Styles,502,RFC50,1.0,1.0,1.0,1.0,0.13,1,1.13
Holding Styles,502,RFC25,1.0,1.0,1.0,1.0,0.07,1,1.07
Holding Styles,502,RFC10,1.0,1.0,1.0,1.0,0.03,1,1.03
