Name,Feature,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Holding Styles,Max,502,DT,99.97,99.96,99.97,99.97,0.023404836654663086,1,1.02
Holding Styles,Max,502,KNN3,100.0,100.0,100.0,100.0,0.013600349426269531,1,1.01
Holding Styles,Max,502,KNN7,100.0,100.0,100.0,100.0,0.013616800308227539,1,1.01
Holding Styles,Max,502,ETC100,100.0,100.0,100.0,100.0,0.19229841232299805,1,1.19
Holding Styles,Max,502,ETC50,100.0,100.0,100.0,100.0,0.10084247589111328,1,1.1
Holding Styles,Max,502,ETC25,100.0,100.0,100.0,100.0,0.055555105209350586,1,1.06
Holding Styles,Max,502,ETC10,100.0,100.0,100.0,100.0,0.02835392951965332,1,1.03
Holding Styles,Max,502,RFC100,100.0,100.0,100.0,100.0,0.41833996772766113,1,1.42
Holding Styles,Max,502,RFC50,100.0,100.0,100.0,100.0,0.21309828758239746,1,1.21
Holding Styles,Max,502,RFC25,100.0,100.0,100.0,100.0,0.11131429672241211,1,1.11
Holding Styles,Max,502,RFC10,100.0,100.0,100.0,100.0,0.05106806755065918,1,1.05
Holding Styles,Min,502,DT,100.0,100.0,100.0,100.0,0.02330803871154785,1,1.02
Holding Styles,Min,502,KNN3,100.0,100.0,100.0,100.0,0.013441324234008789,1,1.01
Holding Styles,Min,502,KNN7,100.0,100.0,100.0,100.0,0.013440608978271484,1,1.01
Holding Styles,Min,502,ETC100,100.0,100.0,100.0,100.0,0.19439911842346191,1,1.19
Holding Styles,Min,502,ETC50,100.0,100.0,100.0,100.0,0.10233306884765625,1,1.1
Holding Styles,Min,502,ETC25,100.0,100.0,100.0,100.0,0.05559825897216797,1,1.06
Holding Styles,Min,502,ETC10,100.0,100.0,100.0,100.0,0.028382539749145508,1,1.03
Holding Styles,Min,502,RFC100,100.0,100.0,100.0,100.0,0.4292900562286377,1,1.43
Holding Styles,Min,502,RFC50,100.0,100.0,100.0,100.0,0.21620988845825195,1,1.22
Holding Styles,Min,502,RFC25,100.0,100.0,100.0,100.0,0.11350250244140625,1,1.11
Holding Styles,Min,502,RFC10,100.0,100.0,100.0,100.0,0.05249667167663574,1,1.05
Holding Styles,Mean,502,DT,99.93,99.93,99.94,99.93,0.0246121883392334,1,1.02
Holding Styles,Mean,502,KNN3,100.0,100.0,100.0,100.0,0.013496637344360352,1,1.01
Holding Styles,Mean,502,KNN7,100.0,100.0,100.0,100.0,0.013615608215332031,1,1.01
Holding Styles,Mean,502,ETC100,100.0,100.0,100.0,100.0,0.19190669059753418,1,1.19
Holding Styles,Mean,502,ETC50,100.0,100.0,100.0,100.0,0.10047483444213867,1,1.1
Holding Styles,Mean,502,ETC25,100.0,100.0,100.0,100.0,0.0563051700592041,1,1.06
Holding Styles,Mean,502,ETC10,100.0,100.0,100.0,100.0,0.02820134162902832,1,1.03
Holding Styles,Mean,502,RFC100,100.0,100.0,100.0,100.0,0.4222841262817383,1,1.42
Holding Styles,Mean,502,RFC50,100.0,100.0,100.0,100.0,0.21400070190429688,1,1.21
Holding Styles,Mean,502,RFC25,100.0,100.0,100.0,100.0,0.11260199546813965,1,1.11
Holding Styles,Mean,502,RFC10,99.97,99.97,99.97,99.97,0.05165290832519531,1,1.05
Holding Styles,StandardDeviation,502,DT,63.76,63.52,63.34,63.41,0.10745120048522949,1,1.11
Holding Styles,StandardDeviation,502,KNN3,67.11,66.67,67.01,66.79,0.013823986053466797,1,1.01
Holding Styles,StandardDeviation,502,KNN7,71.12,70.65,70.94,70.69,0.013890743255615234,1,1.01
Holding Styles,StandardDeviation,502,ETC100,70.81,70.47,70.33,70.31,0.5873816013336182,1,1.59
Holding Styles,StandardDeviation,502,ETC50,70.84,70.5,70.36,70.35,0.2911977767944336,1,1.29
Holding Styles,StandardDeviation,502,ETC25,70.35,69.96,69.89,69.88,0.15044951438903809,1,1.15
Holding Styles,StandardDeviation,502,ETC10,69.17,68.69,68.8,68.7,0.06519484519958496,1,1.07
Holding Styles,StandardDeviation,502,RFC100,71.64,71.31,71.23,71.21,1.030893325805664,1,2.03
Holding Styles,StandardDeviation,502,RFC50,71.05,70.7,70.56,70.58,0.5224661827087402,1,1.52
Holding Styles,StandardDeviation,502,RFC25,70.67,70.27,70.14,70.16,0.26372385025024414,1,1.26
Holding Styles,StandardDeviation,502,RFC10,69.62,69.13,69.43,69.23,0.11242938041687012,1,1.11
