Name,Feature,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Moving,Max,502,DT,86.37,79.21,78.21,78.7,0.1101677417755127,1,1.11
Moving,Max,502,KNN3,86.17,75.17,79.11,76.98,0.009803295135498047,1,1.01
Moving,Max,502,KNN7,84.12,70.54,76.01,72.99,0.009571313858032227,1,1.01
Moving,Max,502,ETC100,95.57,90.13,96.66,93.16,0.35970115661621094,1,1.36
Moving,Max,502,ETC50,95.43,89.86,96.32,92.86,0.18245434761047363,1,1.18
Moving,Max,502,ETC25,94.64,88.48,95.22,91.59,0.09481477737426758,1,1.09
Moving,Max,502,ETC10,93.25,86.0,92.67,89.09,0.04185676574707031,1,1.04
Moving,Max,502,RFC100,92.12,81.87,94.74,87.2,1.1778564453125,1,2.18
Moving,Max,502,RFC50,92.46,82.87,94.92,87.93,0.5957067012786865,1,1.6
Moving,Max,502,RFC25,92.39,83.72,93.16,87.88,0.29647207260131836,1,1.3
Moving,Max,502,RFC10,90.14,81.19,87.79,84.15,0.12291240692138672,1,1.12
Moving,Min,502,DT,85.77,77.99,76.7,77.31,0.11628961563110352,1,1.12
Moving,Min,502,KNN3,86.17,74.78,79.25,76.83,0.009642839431762695,1,1.01
Moving,Min,502,KNN7,85.37,72.72,80.12,76.02,0.010056734085083008,1,1.01
Moving,Min,502,ETC100,94.51,87.16,96.4,91.25,0.3641023635864258,1,1.36
Moving,Min,502,ETC50,94.31,87.07,95.98,91.02,0.18558239936828613,1,1.19
Moving,Min,502,ETC25,94.37,87.09,96.15,91.06,0.09585165977478027,1,1.1
Moving,Min,502,ETC10,93.51,87.1,93.4,89.98,0.04229164123535156,1,1.04
Moving,Min,502,RFC100,91.79,81.82,93.6,86.73,1.2404594421386719,1,2.24
Moving,Min,502,RFC50,91.46,81.18,92.71,86.06,0.6236763000488281,1,1.62
Moving,Min,502,RFC25,91.2,81.03,92.01,85.61,0.3122107982635498,1,1.31
Moving,Min,502,RFC10,90.01,79.92,88.56,83.64,0.12771153450012207,1,1.13
Moving,Mean,502,DT,85.84,76.58,77.57,77.04,0.1159505844116211,1,1.12
Moving,Mean,502,KNN3,84.32,72.32,76.0,74.03,0.009761571884155273,1,1.01
Moving,Mean,502,KNN7,84.58,72.82,76.82,74.66,0.009961605072021484,1,1.01
Moving,Mean,502,ETC100,93.38,85.53,94.6,89.57,0.36333227157592773,1,1.36
Moving,Mean,502,ETC50,92.52,83.29,93.89,87.91,0.18431901931762695,1,1.18
Moving,Mean,502,ETC25,92.79,84.37,93.72,88.5,0.0959784984588623,1,1.1
Moving,Mean,502,ETC10,91.4,83.15,89.94,86.23,0.042943477630615234,1,1.04
Moving,Mean,502,RFC100,90.34,78.38,91.79,83.91,1.2373602390289307,1,2.24
Moving,Mean,502,RFC50,90.07,77.45,91.6,83.19,0.6275734901428223,1,1.63
Moving,Mean,502,RFC25,89.54,76.56,89.89,82.03,0.3212754726409912,1,1.32
Moving,Mean,502,RFC10,87.89,74.45,85.91,79.14,0.13023114204406738,1,1.13
Moving,StandardDeviation,502,DT,67.84,48.65,48.03,48.32,0.14179205894470215,1,1.14
Moving,StandardDeviation,502,KNN3,66.58,37.64,41.94,39.03,0.009636640548706055,1,1.01
Moving,StandardDeviation,502,KNN7,69.42,34.36,44.0,35.99,0.009999752044677734,1,1.01
Moving,StandardDeviation,502,ETC100,78.42,48.79,83.43,54.99,0.4218325614929199,1,1.42
Moving,StandardDeviation,502,ETC50,77.7,48.43,78.54,54.63,0.21259760856628418,1,1.21
Moving,StandardDeviation,502,ETC25,77.9,50.85,73.97,56.51,0.10909724235534668,1,1.11
Moving,StandardDeviation,502,ETC10,76.97,52.1,66.31,56.76,0.04718184471130371,1,1.05
Moving,StandardDeviation,502,RFC100,77.56,48.46,77.05,54.24,1.3310515880584717,1,2.33
Moving,StandardDeviation,502,RFC50,77.3,48.78,72.5,54.11,0.6660614013671875,1,1.67
Moving,StandardDeviation,502,RFC25,76.7,49.28,68.77,54.08,0.3329460620880127,1,1.33
Moving,StandardDeviation,502,RFC10,75.31,50.3,61.03,53.69,0.13515901565551758,1,1.14
