Name,Feature,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Phone,Max,502,DT,91.72,91.7,91.7,91.7,0.004810810089111328,1,1.0
Phone,Max,502,KNN3,93.1,93.09,93.09,93.09,0.0017902851104736328,1,1.0
Phone,Max,502,KNN7,89.66,89.8,89.72,89.65,0.0018014907836914062,1,1.0
Phone,Max,502,ETC100,100.0,100.0,100.0,100.0,0.08391833305358887,1,1.08
Phone,Max,502,ETC50,99.31,99.34,99.29,99.31,0.042638540267944336,1,1.04
Phone,Max,502,ETC25,98.62,98.62,98.62,98.62,0.025652408599853516,1,1.03
Phone,Max,502,ETC10,98.62,98.62,98.62,98.62,0.010091543197631836,1,1.01
Phone,Max,502,RFC100,97.93,97.89,97.97,97.92,0.13426613807678223,1,1.13
Phone,Max,502,RFC50,96.55,96.44,96.71,96.54,0.06732392311096191,1,1.07
Phone,Max,502,RFC25,97.24,97.17,97.33,97.23,0.03468132019042969,1,1.03
Phone,Max,502,RFC10,99.31,99.34,99.29,99.31,0.014914274215698242,1,1.01
Phone,Min,502,DT,90.34,90.32,90.32,90.32,0.005340099334716797,1,1.01
Phone,Min,502,KNN3,91.03,91.05,91.0,91.02,0.0018057823181152344,1,1.0
Phone,Min,502,KNN7,82.76,82.82,82.74,82.75,0.0017545223236083984,1,1.0
Phone,Min,502,ETC100,99.31,99.34,99.29,99.31,0.08713102340698242,1,1.09
Phone,Min,502,ETC50,98.62,98.68,98.59,98.62,0.04365873336791992,1,1.04
Phone,Min,502,ETC25,100.0,100.0,100.0,100.0,0.024181604385375977,1,1.02
Phone,Min,502,ETC10,96.55,96.64,96.54,96.55,0.011096000671386719,1,1.01
Phone,Min,502,RFC100,99.31,99.28,99.35,99.31,0.13781023025512695,1,1.14
Phone,Min,502,RFC50,99.31,99.28,99.35,99.31,0.0690913200378418,1,1.07
Phone,Min,502,RFC25,98.62,98.55,98.72,98.62,0.035423994064331055,1,1.04
Phone,Min,502,RFC10,98.62,98.68,98.59,98.62,0.015426874160766602,1,1.02
Phone,Mean,502,DT,94.48,94.47,94.47,94.47,0.005109548568725586,1,1.01
Phone,Mean,502,KNN3,88.97,88.94,88.94,88.94,0.0017824172973632812,1,1.0
Phone,Mean,502,KNN7,83.45,83.34,83.46,83.38,0.0017969608306884766,1,1.0
Phone,Mean,502,ETC100,98.62,98.62,98.62,98.62,0.0852346420288086,1,1.09
Phone,Mean,502,ETC50,99.31,99.34,99.29,99.31,0.043582916259765625,1,1.04
Phone,Mean,502,ETC25,99.31,99.34,99.29,99.31,0.02373504638671875,1,1.02
Phone,Mean,502,ETC10,98.62,98.68,98.59,98.62,0.010960578918457031,1,1.01
Phone,Mean,502,RFC100,97.93,97.89,97.97,97.92,0.13718843460083008,1,1.14
Phone,Mean,502,RFC50,98.62,98.62,98.62,98.62,0.06923699378967285,1,1.07
Phone,Mean,502,RFC25,97.24,97.23,97.23,97.23,0.03570961952209473,1,1.04
Phone,Mean,502,RFC10,96.55,96.58,96.52,96.55,0.015508890151977539,1,1.02
Phone,StandardDeviation,502,DT,84.83,84.53,85.33,84.66,0.006591081619262695,1,1.01
Phone,StandardDeviation,502,KNN3,73.1,72.94,73.07,72.97,0.001809835433959961,1,1.0
Phone,StandardDeviation,502,KNN7,67.59,67.21,67.7,67.19,0.0017490386962890625,1,1.0
Phone,StandardDeviation,502,ETC100,89.66,89.4,90.15,89.56,0.09353065490722656,1,1.09
Phone,StandardDeviation,502,ETC50,86.9,86.7,87.12,86.81,0.04673504829406738,1,1.05
Phone,StandardDeviation,502,ETC25,85.52,85.38,85.59,85.45,0.02487468719482422,1,1.02
Phone,StandardDeviation,502,ETC10,85.52,85.58,85.5,85.51,0.01108860969543457,1,1.01
Phone,StandardDeviation,502,RFC100,86.21,86.04,86.35,86.13,0.14680957794189453,1,1.15
Phone,StandardDeviation,502,RFC50,83.45,83.28,83.56,83.35,0.07382535934448242,1,1.07
Phone,StandardDeviation,502,RFC25,85.52,85.32,85.73,85.42,0.03770780563354492,1,1.04
Phone,StandardDeviation,502,RFC10,86.9,86.9,86.86,86.87,0.016188859939575195,1,1.02
