Name,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Dynamic,601,DT,0.68,0.26,0.4,0.26,0.14,0.4,0.54
Dynamic,601,KNN3,0.91,0.85,0.88,0.86,0.03,0.4,0.43
Dynamic,601,KNN5,0.9,0.83,0.87,0.85,0.04,0.4,0.44
Dynamic,601,ETC100,0.98,0.96,0.98,0.97,0.87,0.4,1.27
Dynamic,601,ETC50,0.98,0.96,0.98,0.97,0.43,0.4,0.83
Dynamic,601,ETC25,0.98,0.97,0.99,0.98,0.22,0.4,0.62
Dynamic,601,ETC10,0.97,0.96,0.97,0.97,0.1,0.4,0.5
Dynamic,601,RFC100,0.97,0.93,0.98,0.95,3.57,0.4,3.97
Dynamic,601,RFC50,0.96,0.93,0.97,0.95,1.81,0.4,2.21
Dynamic,601,RFC25,0.96,0.93,0.97,0.95,0.89,0.4,1.29
Dynamic,601,RFC10,0.95,0.92,0.95,0.93,0.37,0.4,0.77
