Name,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Static,601,DT,0.99,0.96,0.99,0.98,0.06,0.4,0.46
Static,601,KNN3,1.0,1.0,1.0,1.0,0.02,0.4,0.42
Static,601,KNN5,1.0,1.0,1.0,1.0,0.02,0.4,0.42
Static,601,ETC100,1.0,1.0,1.0,1.0,0.22,0.4,0.62
Static,601,ETC50,1.0,1.0,1.0,1.0,0.12,0.4,0.52
Static,601,ETC25,1.0,1.0,1.0,1.0,0.07,0.4,0.47
Static,601,ETC10,1.0,1.0,1.0,1.0,0.04,0.4,0.44
Static,601,RFC100,1.0,1.0,1.0,1.0,0.52,0.4,0.92
Static,601,RFC50,1.0,1.0,1.0,1.0,0.28,0.4,0.68
Static,601,RFC25,1.0,1.0,1.0,1.0,0.15,0.4,0.55
Static,601,RFC10,1.0,1.0,1.0,1.0,0.07,0.4,0.47
