Name,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Total,601,DT,0.65,0.35,0.49,0.37,0.4,0.4,0.8
Total,601,KNN3,0.89,0.77,0.85,0.8,0.07,0.4,0.47
Total,601,KNN5,0.87,0.74,0.85,0.78,0.07,0.4,0.47
Total,601,ETC100,0.96,0.91,0.97,0.94,2.15,0.4,2.55
Total,601,ETC50,0.96,0.91,0.97,0.94,1.08,0.4,1.48
Total,601,ETC25,0.96,0.91,0.97,0.94,0.54,0.4,0.94
Total,601,ETC10,0.95,0.91,0.95,0.93,0.23,0.4,0.63
Total,601,RFC100,0.94,0.87,0.96,0.91,10.03,0.4,10.43
Total,601,RFC50,0.94,0.87,0.96,0.91,4.84,0.4,5.24
Total,601,RFC25,0.94,0.87,0.95,0.91,2.43,0.4,2.83
Total,601,RFC10,0.93,0.87,0.94,0.9,0.99,0.4,1.39
