Name,Feature,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Non-Moving,Max,802,DT,100.0,100.0,100.0,100.0,0.028140783309936523,0.4,0.43
Non-Moving,Max,802,KNN3,100.0,100.0,100.0,100.0,0.021822690963745117,0.4,0.42
Non-Moving,Max,802,KNN7,100.0,100.0,100.0,100.0,0.021623849868774414,0.4,0.42
Non-Moving,Max,802,ETC100,100.0,100.0,100.0,100.0,0.19479894638061523,0.4,0.59
Non-Moving,Max,802,ETC50,100.0,100.0,100.0,100.0,0.10498809814453125,0.4,0.5
Non-Moving,Max,802,ETC25,100.0,100.0,100.0,100.0,0.06073260307312012,0.4,0.46
Non-Moving,Max,802,ETC10,100.0,100.0,100.0,100.0,0.03376269340515137,0.4,0.43
Non-Moving,Max,802,RFC100,100.0,100.0,100.0,100.0,0.44460248947143555,0.4,0.84
Non-Moving,Max,802,RFC50,100.0,100.0,100.0,100.0,0.23131084442138672,0.4,0.63
Non-Moving,Max,802,RFC25,100.0,100.0,100.0,100.0,0.12483930587768555,0.4,0.52
Non-Moving,Max,802,RFC10,100.0,100.0,100.0,100.0,0.058123111724853516,0.4,0.46
Non-Moving,Min,802,DT,100.0,100.0,100.0,100.0,0.029537677764892578,0.4,0.43
Non-Moving,Min,802,KNN3,100.0,100.0,100.0,100.0,0.027492046356201172,0.4,0.43
Non-Moving,Min,802,KNN7,100.0,100.0,100.0,100.0,0.021792173385620117,0.4,0.42
Non-Moving,Min,802,ETC100,100.0,100.0,100.0,100.0,0.2029407024383545,0.4,0.6
Non-Moving,Min,802,ETC50,100.0,100.0,100.0,100.0,0.11046624183654785,0.4,0.51
Non-Moving,Min,802,ETC25,100.0,100.0,100.0,100.0,0.06823921203613281,0.4,0.47
Non-Moving,Min,802,ETC10,100.0,100.0,100.0,100.0,0.03471565246582031,0.4,0.43
Non-Moving,Min,802,RFC100,100.0,100.0,100.0,100.0,0.4560244083404541,0.4,0.86
Non-Moving,Min,802,RFC50,100.0,100.0,100.0,100.0,0.2376863956451416,0.4,0.64
Non-Moving,Min,802,RFC25,100.0,100.0,100.0,100.0,0.1294395923614502,0.4,0.53
Non-Moving,Min,802,RFC10,100.0,100.0,100.0,100.0,0.0614926815032959,0.4,0.46
Non-Moving,Mean,802,DT,100.0,100.0,100.0,100.0,0.03456282615661621,0.4,0.43
Non-Moving,Mean,802,KNN3,100.0,100.0,100.0,100.0,0.026099443435668945,0.4,0.43
Non-Moving,Mean,802,KNN7,100.0,100.0,100.0,100.0,0.021943330764770508,0.4,0.42
Non-Moving,Mean,802,ETC100,100.0,100.0,100.0,100.0,0.19907760620117188,0.4,0.6
Non-Moving,Mean,802,ETC50,100.0,100.0,100.0,100.0,0.1079721450805664,0.4,0.51
Non-Moving,Mean,802,ETC25,100.0,100.0,100.0,100.0,0.06160998344421387,0.4,0.46
Non-Moving,Mean,802,ETC10,100.0,100.0,100.0,100.0,0.0344696044921875,0.4,0.43
Non-Moving,Mean,802,RFC100,100.0,100.0,100.0,100.0,0.4585840702056885,0.4,0.86
Non-Moving,Mean,802,RFC50,100.0,100.0,100.0,100.0,0.23880743980407715,0.4,0.64
Non-Moving,Mean,802,RFC25,100.0,100.0,100.0,100.0,0.1288280487060547,0.4,0.53
Non-Moving,Mean,802,RFC10,100.0,100.0,100.0,100.0,0.060446977615356445,0.4,0.46
Non-Moving,StandardDeviation,802,DT,97.12,93.86,94.62,94.24,0.10642862319946289,0.4,0.51
Non-Moving,StandardDeviation,802,KNN3,98.13,95.09,97.39,96.2,0.02157139778137207,0.4,0.42
Non-Moving,StandardDeviation,802,KNN7,98.18,94.69,98.01,96.26,0.021509170532226562,0.4,0.42
Non-Moving,StandardDeviation,802,ETC100,97.96,93.85,97.94,95.76,0.3831672668457031,0.4,0.78
Non-Moving,StandardDeviation,802,ETC50,97.96,93.93,97.86,95.77,0.19872212409973145,0.4,0.6
Non-Moving,StandardDeviation,802,ETC25,97.96,93.85,97.94,95.76,0.1072685718536377,0.4,0.51
Non-Moving,StandardDeviation,802,ETC10,98.06,94.34,97.85,95.99,0.05304694175720215,0.4,0.45
Non-Moving,StandardDeviation,802,RFC100,98.03,93.97,98.14,95.91,1.371023178100586,0.4,1.77
Non-Moving,StandardDeviation,802,RFC50,98.03,93.9,98.22,95.91,0.690061092376709,0.4,1.09
Non-Moving,StandardDeviation,802,RFC25,97.98,93.94,97.95,95.82,0.3558542728424072,0.4,0.76
Non-Moving,StandardDeviation,802,RFC10,97.91,94.11,97.45,95.69,0.15102672576904297,0.4,0.55
