Name,Type,Ml,Accuracy,Recall,Precision,F1,Time
Total,802,ETC100,0.97,0.94,0.98,0.96,1.87
Total,802,ETC50,0.97,0.94,0.98,0.96,0.95
Total,802,ETC25,0.97,0.94,0.98,0.96,0.49
Total,502,ETC100,0.91,0.85,0.94,0.89,0.8
Total,502,ETC50,0.91,0.85,0.93,0.89,0.42
Total,502,ETC25,0.91,0.84,0.93,0.88,0.21
Total,601,ETC100,0.96,0.91,0.97,0.94,1.91
Total,601,ETC50,0.96,0.91,0.97,0.94,0.98
Total,601,ETC25,0.96,0.91,0.97,0.94,0.5
Total,401,ETC100,0.93,0.85,0.95,0.89,1.33
Total,401,ETC50,0.93,0.85,0.95,0.89,0.68
Total,401,ETC25,0.93,0.84,0.94,0.88,0.34
